,color,fueil,license,name,gear,glass,weel_drive,prevـuse,prev_owners,passengers,engine,meter,year,price
1,أسود ميتالك ,بنزين ,فلسطينية ,فولكسفاجن,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1400,180000.0,2010,70000
3,أزرق ,ديزل ,فلسطينية ,سيت,عادي ,الكتروني ,دفع رباعي 4x4 ,عمومي ,4.0,5.0,1900,14.0,2001,25000
4,ذهبي ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,6.0,5.0,1400,220000.0,2007,32000
5,أبيض ,ديزل ,فلسطينية ,سكودا,عادي ,الكتروني ,دفع رباعي 4x4 ,عمومي ,6.0,5.0,1900,220000.0,2005,42000
6,أبيض ,بنزين ,فلسطينية ,بيجو,عادي ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,2.0,5.0,1200,100.0,2016,39500
7,سكني ,ديزل ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,2.0,5.0,1400,14000.0,2017,78000
9,فيراني ,بنزين ,فلسطينية ,فولكسفاجن,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,1.0,5.0,2000,48000.0,2017,155000
10,خمري ,بنزين ,فلسطينية ,بيجو,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,4.0,5.0,1600,120.0,2008,23000
11,رصاصي ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,4.0,5.0,2000,120.0,2012,68000
12,فضي ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,2000,69000.0,2013,95000
13,فيراني ,بنزين ,فلسطينية ,مرسيدس,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,0.0,5.0,2500,30000.0,2015,175000
14,أسود ,ديزل ,فلسطينية ,مرسيدس,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,2200,129100.0,2005,65300
16,أبيض عاجي ,ديزل ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,2000,150000.0,2014,90000
17,أبيض عاجي ,بنزين ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,2000,150000.0,2015,85000
18,أبيض ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع خلفي ,خصوصي ,4.0,5.0,1600,75000.0,1997,25000
21,رمادي ,بنزين ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,1200,57.0,2016,63000
22,أبيض ,ديزل ,فلسطينية ,بيجو,عادي ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,1690,0.0,2008,47000
23,ذهبي ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,2000,0.0,2006,48000
24,فيراني ,ديزل ,فلسطينية ,هونداي,نصف اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,2000,30000.0,2014,90000
25,أبيض عاجي ,ديزل ,فلسطينية ,سكودا,عادي ,الكتروني ,دفع خلفي ,خصوصي ,2.0,5.0,1600,25000.0,2014,98000
26,فضي ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,2.0,5.0,1600,100000.0,2013,50000
27,أبيض عاجي ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,2.0,5.0,2000,180000.0,2014,95000
28,أسود ,ديزل ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,2000,180000.0,2015,115000
29,أسود ,بنزين ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,3.0,5.0,1400,78000.0,2015,60000
30,أخضر ,بنزين ,فلسطينية ,شفروليه,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,2.0,5.0,1600,78000.0,2008,27000
32,سكني ,ديزل ,فلسطينية ,بيجو,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1600,120000.0,2008,35000
33,فيراني ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,2000,70.0,2017,86000
35,أحمر ,بنزين ,فلسطينية ,سيت,عادي ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1200,7000.0,2017,68000
36,فيراني ,بنزين ,فلسطينية ,سيت,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,7000.0,2008,42000
37,أزرق ,بنزين ,فلسطينية ,فورد,اوتوماتيك ,الكتروني ,دفع أمامي ,حكومي ,1.0,5.0,2000,7000.0,2009,39000
38,عدة الوان ,بنزين ,فلسطينية ,سيت,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1600,7000.0,2010,45000
39,فضي ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,58.0,2014,56000
40,فضي ,بنزين ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1600,127000.0,2011,58000
41,أسود ,بنزين ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1400,127000.0,2011,95000
42,أزرق ,بنزين ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,30000.0,2014,100000
43,سكني ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1400,70000.0,2017,60000
44,أبيض ,ديزل ,فلسطينية ,فولفو,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,3.0,2800,15000.0,2007,230000
45,بترولي ,بنزين ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1400,4700.0,2016,68000
46,رمادي ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,4700.0,2013,50000
47,كحلي ,بنزين ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,60000.0,2016,110000
48,أحمر ,بنزين ,فلسطينية ,ستروين,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1600,84000.0,2013,62000
49,سكني ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,18000.0,2008,38000
50,فضي ,ديزل ,فلسطينية ,جييب,عادي ,يدوي ,دفع أمامي ,خصوصي ,2.0,7.0,2500,18000.0,2005,60000
51,أبيض ,بنزين ,فلسطينية ,ستروين,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1200,45000.0,2015,75000
52,فضي ,ديزل ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1600,297000.0,2011,68000
53,أبيض ,بنزين ,فلسطينية ,فولكسفاجن,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,2000,70000.0,2016,120000
54,زيتي ,بنزين ,فلسطينية ,اودي,نصف اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1800,80000.0,2010,83000
55,بترولي ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,2.0,5.0,2000,65000.0,2015,109999
56,سكني ,بنزين ,فلسطينية ,بيجو,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,2.0,5.0,1600,65000.0,2007,37000
57,أسود ,ديزل ,فلسطينية ,تويوتا,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,0.0,7.0,3000,65000.0,2014,350000
58,سكني ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,0.0,5.0,1500,280000.0,2005,24000
59,أبيض ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,2000,115000.0,2015,115000
60,أبيض ,ديزل ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,0.0,7.0,2000,124.0,2018,170000
61,أسود ,ديزل ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,0.0,7.0,1600,124.0,2015,100000
62,سكني ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,3.0,5.0,2000,160000.0,2007,45000
63,سكني ,ديزل ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,5.0,7.0,2500,0.0,2007,45000
64,فيراني ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,1.0,5.0,1400,65.0,2014,65000
65,أبيض ,ديزل ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,3.0,5.0,1600,130000.0,2014,68000
66,أسود ,ديزل ,فلسطينية ,بيجو,عادي ,الكتروني ,دفع رباعي 4x4 ,خصوصي ,1.0,7.0,1600,160000.0,2014,80000
67,أبيض عاجي ,ديزل ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع خلفي ,تجاري ,1.0,6.0,2500,75000.0,2012,10000
68,فيراني ,بنزين ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,1200,70000.0,2014,60000
69,فضي ,ديزل ,فلسطينية ,فولكسفاجن,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1900,200000.0,2000,20000
70,أسود ,بنزين ,فلسطينية ,فولكسفاجن,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,200000.0,2007,40000
71,أزرق سماوي ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1600,95000.0,2005,42000
72,فضي ,بنزين ,فلسطينية ,فولكسفاجن,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1600,200000.0,2002,37000
73,بيج ,بنزين ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1600,57000.0,2015,65000
74,رمادي ,بنزين ,فلسطينية ,كيا,نصف اوتوماتيك ,الكتروني ,دفع أمامي ,تأجير ,2.0,5.0,1600,140.0,2011,44999
75,أحمر ,ديزل ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع أمامي ,عمومي ,3.0,5.0,1900,140.0,1999,25000
76,فيراني ,بنزين ,فلسطينية ,اوبل,نصف اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1600,55000.0,2019,62000
77,أبيض ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,2000,47000.0,2014,113000
78,أسود ميتالك ,بنزين ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1200,83000.0,2016,55000
79,خمري ,بنزين ,فلسطينية ,بيجو,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1600,83000.0,2006,26000
80,فضي ,بنزين ,فلسطينية ,فولكسفاجن,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1800,83000.0,1997,20000
82,أبيض عاجي ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1400,20000.0,2007,35500
83,أبيض عاجي ,بنزين ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1600,0.0,1997,25000
84,أبيض عاجي ,ديزل ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,0.0,5.0,2000,0.0,2018,97000
85,أبيض ,ديزل ,فلسطينية ,كيا,عادي ,الكتروني ,دفع أمامي ,عمومي ,0.0,5.0,1400,0.0,2014,35000
86,فضي ,بنزين ,فلسطينية ,سيت,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1200,88000.0,2017,69000
87,أبيض عاجي ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1600,135.0,2007,41000
88,سكني ,ديزل ,فلسطينية ,ايسوزو,عادي ,الكتروني ,دفع أمامي ,حكومي ,2.0,5.0,3000,190000.0,2005,65000
91,أسود ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع خلفي ,خصوصي ,0.0,5.0,1400,0.0,2008,39000
92,فضي ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,0.0,7.0,2200,0.0,2007,45000
93,بني ,ديزل ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,1900,280000.0,2000,30000
94,فضي ,بنزين ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,1400,80000.0,2009,35000
95,أزرق سماوي ,ديزل ,فلسطينية ,رينو,عادي ,الكتروني ,دفع خلفي ,خصوصي ,4.0,4.0,1500,80000.0,2010,10000
96,فضي ,بنزين ,فلسطينية ,مازدا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,4.0,5.0,1500,60000.0,2015,89000
97,رمادي ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,1400,45.0,2015,55000
99,أبيض عاجي ,ديزل ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع خلفي ,عمومي ,5.0,8.0,2500,4000.0,2001,40000
100,فيراني ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,2000,100.0,2016,90000
101,أحمر ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع خلفي ,خصوصي ,3.0,5.0,1600,298000.0,1998,32000
102,رمادي ,ديزل ,فلسطينية ,بيجو,عادي ,الكتروني ,دفع خلفي ,خصوصي ,0.0,5.0,1600,82.0,2018,72000
103,أبيض ,ديزل ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,0.0,5.0,2000,81000.0,2014,75500
104,أبيض عاجي ,ديزل ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,0.0,5.0,2000,60000.0,2015,107000
105,بني ,بنزين ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع خلفي ,خصوصي ,1.0,5.0,1400,0.0,2015,90000
106,فيراني ,بنزين ,فلسطينية ,اوبل,عادي ,الكتروني ,دفع خلفي ,خصوصي ,0.0,5.0,1400,40.0,2017,58000
107,فضي ,ديزل ,فلسطينية ,سكودا,عادي ,الكتروني ,دفع خلفي ,عمومي ,5.0,5.0,1900,46500.0,2008,60000
108,أبيض عاجي ,ديزل ,فلسطينية ,سكودا,عادي ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1600,0.0,2014,75000
109,كحلي ,بنزين ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1600,0.0,2015,85000
110,ذهبي ,بنزين ,فلسطينية ,فورد,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1600,73000.0,2016,45000
111,أسود ,ديزل ,فلسطينية ,سكودا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,2000,42000.0,2021,163500
112,فضي ,ديزل ,فلسطينية ,فولكسفاجن,عادي ,الكتروني ,دفع أمامي ,خصوصي ,1.0,7.0,1600,125000.0,2012,62500
113,أخضر ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1500,115000.0,2002,32000
115,فضي ,بنزين ,فلسطينية ,فورد,عادي ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,1600,165.0,2009,32000
116,سكني ,ديزل ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,3.0,5.0,2000,92000.0,2015,83000
117,خمري ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,تأجير ,1.0,5.0,1250,80000.0,2014,39000
118,سكني ,بنزين ,فلسطينية ,كيا,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,2.0,5.0,1600,130000.0,2010,43500
119,ذهبي ,ديزل ,فلسطينية ,سكودا,عادي ,الكتروني ,دفع أمامي ,عمومي ,3.0,5.0,1900,400.0,2005,43000
120,أبيض ,بنزين ,فلسطينية ,هونداي,اوتوماتيك ,الكتروني ,دفع أمامي ,خصوصي ,1.0,5.0,1400,400.0,2015,65000
